date,stock_symbols,body,score
Tue Sep 08 14:00:08 UTC 2009,"AAPL,AIG,GLD,GOOG,SPY,UNG","<neutral>$GLD 98.20, $AAPL 172.50, $AIG 36.75, $SPY 102.59, $UNG 9.72, $GOOG 462.94 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Tue Sep 08 18:46:02 UTC 2009,GOOG,"<neutral>@Longhorn1 however if you ahve ST Desktop open, you can type your messages there. use a symbol ($GOOG, fex) or $$ to send to STockTwits Web</neutral>",0
Tue Sep 08 20:07:16 UTC 2009,"FBOOK,GOOG,TWIT","<neutral>RT @alexiskold Real-Time Web has become core part of many Internet products in 2009: $twit, FriendFeed, $fbook, $goog http://bit.ly/3Ejhki </neutral>",0
Thu Sep 10 01:35:46 UTC 2009,GOOG,<neutral>$GOOG getting in the solar game? --&gt;  http://bit.ly/4AKI5m</neutral>,0
Fri Sep 11 09:37:27 UTC 2009,GOOG,<neutral>RT @BusinessChannel $GOOG is planning to introduce a micropayment system for newspapers. http://bit.ly/5RPgv</neutral>,0
Fri Sep 11 16:46:54 UTC 2009,GOOG,<positive>@pcdunham love that you used the new $goog search function - currently looking at market top searchs to spx </positive>,3
Tue Sep 15 00:05:50 UTC 2009,"GOOG,RIMM",<neutral>$RIMM $GOOG</neutral>,0
Tue Sep 15 19:24:23 UTC 2009,"BIDU,GOOG",<positive>chinese saerch giant $bidu nearing all-time highs while $goog still 30 plus percent below...wow on $bidu a quadruple off march lows </positive>,1
Wed Sep 16 13:48:54 UTC 2009,"BIDU,GOOG",<neutral>$BIDU and $GOOG continue to make new 52 week highs</neutral>,0
Wed Sep 16 14:45:36 UTC 2009,"BIDU,GOOG",<very positive>congrats china and $bidu for doing search and managing your stock better than $goog.  i am long with $400 stop.  never thought possible</very positive>,4
Wed Sep 16 14:48:33 UTC 2009,"BIDU,GOOG",<neutral>RT @howardlindzon congrats china and $bidu for doing search and managing your stock better than $goog.  Never say never :-)</neutral>,0
Wed Sep 16 16:03:12 UTC 2009,"AAPL,AMZN,BIDU,GOOG","<neutral>$bidu is about 7% below its all time high, $GOOG - 54% below; $AAPL - 12% below, $AMZN -13% below </neutral>",0
Wed Sep 16 16:52:02 UTC 2009,"GOOG,YHOO","<positive>RT @ericjackson RT @josephtartakoff: $Goog Wants To Hire $Yhoo Talent, http://cnt.to/hQY //too late, there&#39;s precious little talent left</positive>",3
Wed Sep 16 17:55:01 UTC 2009,GOOG,"<positive>RT @graubart $GOOG acquires reCaptcha, maybe buying Brightcove for $500-700M  http://bit.ly/T6DJL  - i am making calls on brightcove...wow</positive>",2
Thu Sep 17 14:11:13 UTC 2009,GOOG,<negative>$GOOG could see some pressure here @ 499 - 503</negative>,-1
Thu Sep 17 15:29:29 UTC 2009,"BIDU,GOOG",<neutral>The Man Who&#39;s Beating Google: http://bit.ly/ZiV3F Baidu racks up 8 billion searches &amp; 145 million unique visitors each month. $BIDU $GOOG</neutral>,0
Thu Sep 17 18:39:17 UTC 2009,GOOG,<positive>$GOOG Sep. 490 calls volume 17K vs. open interest of 6860.</positive>,2
Fri Sep 18 13:53:00 UTC 2009,GOOG,"<very positive>@ppearlman Phil -- I&#39;d like 500 shares of $GOOG transferred to my account at Schwab, thanks!</very positive>",4
Sat Sep 19 02:30:54 UTC 2009,GOOG,<neutral>Interested to see how the $GOOG Doubleclick Ad Exchange turns out -  http://bit.ly/JCKFD</neutral>,0
Mon Sep 21 16:04:40 UTC 2009,"GOOG,MSFT",<positive>$GOOG $MSFT weird that &quot;competition&quot; means &quot;giving away free stuff&quot; - love potential of Office Webapps</positive>,1
Mon Sep 21 16:10:20 UTC 2009,GOOG,<very positive>Watching $GOOG for a break &amp; hold above 500.  WIll enter bullish position if break &amp; hold takes place.  </very positive>,5
Mon Sep 21 18:58:53 UTC 2009,"BIDU,GOOG",<negative>$goog playing cathc-up to $bidu which makes sense in this retarded tape.  </negative>,-2
Tue Sep 22 03:03:04 UTC 2009,"AAPL,BIDU,C,ETFC,GOOG","<neutral>Holding these: $C $ETFC $GOOG - Waiting for these to pullback to get back in:  $AAPL in 170s, $BIDU in mid 300s.  Thoughts? #AmateurInvestor</neutral>",0
Tue Sep 22 13:28:22 UTC 2009,GOOG,"<very negative>Google- $GOOG October volatility low at 34; shares above $500 in pre-open, a 13-month high CBOE</very negative>",-4
Tue Sep 22 13:43:55 UTC 2009,GOOG,<neutral>$GOOG hovering around 500$</neutral>,0
Tue Sep 22 15:08:47 UTC 2009,GOOG,"<neutral>$GOOG battling 500 today. I think it&#39;s going higher, but not pulling the trigger just yet. Developing...</neutral>",0
Tue Sep 22 17:51:58 UTC 2009,GOOG,"<very positive>$$GOOG getting weak? long run, may b time for profit taking!</very positive>",4
Tue Sep 22 17:56:19 UTC 2009,"AIG,GOOG",<very negative>$$GOOG and $$AIG going short here</very negative>,-4
Tue Sep 22 18:04:12 UTC 2009,GOOG,"<very negative>$$GOOG short, AIG short, dumb idea for now</very negative>",-10
Wed Sep 23 14:30:27 UTC 2009,GOOG,<positive>$goog launches a universal web commenting system...interesting... http://bit.ly/teFyZ anyone try that out yet?</positive>,1
Wed Sep 23 16:37:20 UTC 2009,GOOG,<neutral>$GOOG chrome frame is announced --&gt;  http://bit.ly/1yksg9 #google</neutral>,0
Thu Sep 24 13:59:32 UTC 2009,GOOG,<neutral>Got in $GOOG Oct 520 calls</neutral>,0
Thu Sep 24 14:48:53 UTC 2009,GOOG,<neutral>$GOOG should rename Gmail to GFail</neutral>,0
Thu Sep 24 14:49:13 UTC 2009,GOOG,<neutral>RT @zerobeta $GOOG should rename Gmail to GFail</neutral>,0
Thu Sep 24 15:05:08 UTC 2009,GOOG,<negative>I strongly suspect $GOOG sync wasn&#39;t quite ready for prime time</negative>,-2
Thu Sep 24 18:41:21 UTC 2009,GOOG,<neutral>http://bit.ly/skMW6 5 company&#39;s $goog might buy next from @jaltucher</neutral>,0
Thu Sep 24 20:22:03 UTC 2009,"AAPL,AMZN,GOOG,RIMM",<neutral>The 4 horsemen of the apocalypsis in AH:  $aapl @ -$3  $goog @ -$3  $amzn @ -$1 and $rimm @ -$9</neutral>,0
Fri Sep 25 14:48:12 UTC 2009,"AAPL,AMZN,BIDU,GOOG,GS,PCLN",<positive>Some big caps that held up well this week $GS $AAPL $PCLN $AMZN $BIDU $GOOG $$</positive>,1
Fri Sep 25 18:46:47 UTC 2009,GOOG,<neutral>$GOOG needs to get on its feets now for the market to rally $$</neutral>,0
Sat Sep 26 20:25:41 UTC 2009,"AMD,ATT,GOOG,INTC","<neutral>I&#39;m so sick of uncompetitive companies suing their competition, like $ATT vs $GOOG ofr $AMD vs $INTC</neutral>",0
Sat Sep 26 20:32:59 UTC 2009,"GOOG,MSFT",<very negative>Anyone else think $MSFT s new bing sucks?  I was worried about my $goog holding but I dont know anyone who uses bing or let alone like it</very negative>,-5
Mon Sep 28 09:08:20 UTC 2009,"AAPL,AMZN,GOOG,MSFT,YHOO",<neutral>$MSFT $GOOG $YHOO $AMZN $AAPL MIcrosoft stages a big comeback http://bit.ly/PfgIC</neutral>,0
Mon Sep 28 17:36:08 UTC 2009,GOOG,<neutral>$GOOG is on the move. A close above 500 and it targets 525.</neutral>,0
Mon Sep 28 20:42:07 UTC 2009,"GOOG,MSFT",<neutral>built for consumers selling as public sector service $GOOG $MSFT RT @GeorgeVHulme LA city hall tech giants&#39; battlefield http://bit.ly/1GBAju</neutral>,0
Tue Sep 29 17:27:59 UTC 2009,GOOG,<neutral>$GOOG pounding resitance around 500.  A break either way should bankroll my vacation next week!</neutral>,0
Thu Oct 01 14:19:03 UTC 2009,"AAPL,BIDU,GOOG,GS","<very positive>thx reminder RT @traderflorida: like I&#39;ve mentioned many times over, watch the high beta stocks for market direction  $bidu $goog $aapl $gs</very positive>",4
Thu Oct 01 16:27:30 UTC 2009,"AAPL,AMZN,BIDU,GOOG,GS","<neutral>I don&#39;t like how the Naz is below its 20-day, but I do like how $BIDU $AAPL $AMZN $GOOG $GS are above their 20-days, just an observation $$</neutral>",0
Thu Oct 01 23:40:37 UTC 2009,GOOG,<positive>RT @howardlindzon Incredible meeting with $goog finance people at stocktwits hq today. *** Feel free to share the details.</positive>,1
Fri Oct 02 03:42:03 UTC 2009,GOOG,<positive>just downloaded $GOOG Chrome - they are like the Roman Empire of the internet/tech world</positive>,2
Fri Oct 02 03:45:52 UTC 2009,GOOG,<positive>watching the $GOOG Wave intro - this thing looks awesome - any invitations out there? kvnmchlhughes@gmail.com</positive>,3
Fri Oct 02 15:33:14 UTC 2009,GOOG,<positive>Ritholtz with good comments on $GOOG not having a clue about real time search at #stockcamp</positive>,2
Mon Oct 05 04:00:04 UTC 2009,"AAPL,GOOG,GS,SPY","<neutral>$GS 179.60, $SPY 102.49, $GOOG 484.58, $AAPL 184.88 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Mon Oct 05 08:00:03 UTC 2009,"GOOG,GS,SPY","<neutral>$GS 179.60, $SPY 102.49, $GOOG 484.58 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Mon Oct 05 12:54:08 UTC 2009,"GOOG,MSFT",<neutral>$GOOG fires one accross the $MSFT bow with new Chome..http://bit.ly/2GFf8n</neutral>,0
Mon Oct 05 15:01:04 UTC 2009,"AAPL,BIDU,GOOG,GS,PCLN",<positive>Big caps strong today $BIDU $PCLN $GOOG $GS $AAPL $$</positive>,1
Mon Oct 05 20:25:29 UTC 2009,GOOG,<neutral>$GOOG will report their 3rd Qtr earning on October 15 through a webcast and a Q and A  http://bit.ly/MlDvM</neutral>,0
Tue Oct 06 05:23:40 UTC 2009,"GOOG,IBM","<neutral>$IBM web email isnt worth much.  Most cos use outlook their webserver/domain, I dont see them paying for what is already free &amp; works $GOOG</neutral>",0
Tue Oct 06 13:30:46 UTC 2009,"GOOG,VZ",<neutral>$goog and $vz going to develop android handsets</neutral>,0
Tue Oct 06 13:38:12 UTC 2009,"GOOG,TEX","<neutral>$TEX and $GOOG are already making early moves for me!  BTW, I start trading at 6AM here in SoCal</neutral>",0
Tue Oct 06 19:14:28 UTC 2009,GOOG,<neutral>RT @mathewi Eric Schmidt admits Google paid $1-billion more for YouTube than it was worth - a 250% premium: http://bit.ly/3yo6eH $$ $goog</neutral>,0
Tue Oct 06 19:30:17 UTC 2009,"AAPL,ALU,ERIC,GOOG,RIMM,S,STAR,T,VZ","<positive>$STAR, $ALU, $ERIC are the big winners in $AAPL v. $RIMM v. $GOOG &amp; $T v. $S v. $VZ debates</positive>",2
Wed Oct 07 08:00:03 UTC 2009,"AAPL,AIG,GLD,GOOG,GS,SPY","<neutral>$AAPL 190.01, $GS 188.19, $SPY 105.59, $AIG 44.89, $GLD 102.28, $GOOG 498.74 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Wed Oct 07 14:24:37 UTC 2009,GOOG,<neutral>$goog above 500 which is worth watching.  </neutral>,0
Wed Oct 07 14:58:53 UTC 2009,GOOG,<neutral>Is there too much power hidden in your gmail password...be careful....$goog  http://bit.ly/11cTSl (i need to change mine from falafel) </neutral>,0
Wed Oct 07 16:12:21 UTC 2009,GOOG,<neutral>Got into $GOOG Oct 520 calls @ 8.7</neutral>,0
Wed Oct 07 16:21:24 UTC 2009,GOOG,<negative>$GOOG is popping as earnings runners snatch it up. Back up to 600 by January may be in the cards.</negative>,-2
Wed Oct 07 16:51:15 UTC 2009,GOOG,<neutral>$GOOG on track to 525 IMO</neutral>,0
Wed Oct 07 16:52:33 UTC 2009,"AAPL,AMZN,BIDU,GOOG",<neutral>$aapl $goog and $bidu are unstoppable in this environment.  $amzn as well.  keep it simple but use money management for your risk appetite </neutral>,0
Wed Oct 07 16:57:10 UTC 2009,GOOG,<very positive>Long $GOOG</very positive>,4
Wed Oct 07 16:57:54 UTC 2009,GOOG,"<positive>http://bit.ly/6miTX the $goog real estate index and why information is power, hard to measure and great for being a growth stock </positive>",2
Wed Oct 07 16:59:29 UTC 2009,GOOG,<neutral>$GOOG has been liberated today</neutral>,0
Wed Oct 07 17:02:56 UTC 2009,GOOG,<neutral>$GOOG setting the pace</neutral>,0
Wed Oct 07 17:28:04 UTC 2009,GOOG,<neutral>lol $GOOG home page made me laugh out loud at my schools library wheck it out http://www.google.com</neutral>,0
Wed Oct 07 17:29:41 UTC 2009,"BIDU,GOOG",<neutral>RT @stockmaster $bidu and $goog are racing to see who get to $1000 first</neutral>,0
Wed Oct 07 17:31:27 UTC 2009,"BIDU,GOOG,MA",<neutral>$ma $goog $bidu all big tickets all up big</neutral>,0
Wed Oct 07 18:02:26 UTC 2009,GOOG,<neutral>$GOOG has given an all clear before the earnings. Now Schmidt can&#39;t ask you to buy the stock directly.</neutral>,0
Wed Oct 07 18:41:44 UTC 2009,GOOG,<neutral>Nothing is able to keep $GOOG down today. Looking for it to go ballistic. Holding onto Oct 520 from this morning $$</neutral>,0
Wed Oct 07 18:44:51 UTC 2009,"AAPL,GOOG",<neutral>$AAPL holding down the market today. At least we now know that $AAPL has more sway than $GOOG on the market.</neutral>,0
Wed Oct 07 18:52:46 UTC 2009,GOOG,<neutral>A $GOOG does not an economy make............</neutral>,0
Wed Oct 07 18:54:18 UTC 2009,GOOG,<positive>Time to go find your friend who said not to buy $GOOG when it was $250 and flick a booger on him.</positive>,2
Wed Oct 07 19:03:55 UTC 2009,GOOG,"<neutral>$GOOG is a no brainer trade ahead of the earnings, fully endorsed by Schmidt.</neutral>",0
Wed Oct 07 19:05:21 UTC 2009,GOOG,"<neutral>RT @thinkingtrades $GOOG is a no brainer trade ahead of the earnings, fully endorsed by Schmidt. (at this rate I will sell just before)</neutral>",0
Wed Oct 07 19:17:15 UTC 2009,GOOG,<very negative>At this rate my short term $GOOG target of 525 will be here shortly.</very negative>,-4
Thu Oct 08 01:00:03 UTC 2009,"AA,AAPL,AMZN,GOOG,GS,SPY,VG","<neutral>$AA 14.20, $GOOG 517.82, $AAPL 190.25, $GS 190.43, $VG 1.98, $AMZN 93.97, $SPY 105.80 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Thu Oct 08 06:00:04 UTC 2009,"AA,AAPL,GOOG,GS,SPY,VG","<neutral>$AA 14.20, $GOOG 517.82, $AAPL 190.25, $GS 190.43, $SPY 105.80, $VG 1.98 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Thu Oct 08 06:19:31 UTC 2009,"AAPL,GOOG,RIMM,VZ","<neutral>Biz Week: Google, Verizon Wireless: A Potent Smartphone Team http://bit.ly/1iZOUQ $GOOG $VZ $AAPL $RIMM</neutral>",0
Thu Oct 08 11:00:04 UTC 2009,"AA,AAPL,GOOG,GS,SPY,VG","<neutral>$AA 14.20, $GOOG 517.82, $AAPL 190.25, $GS 190.43, $VG 1.98, $SPY 105.80 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Thu Oct 08 12:00:03 UTC 2009,"AA,AAPL,GOOG,GS,SPY,VG","<neutral>$AA 14.20, $GOOG 517.82, $AAPL 190.25, $GS 190.43, $VG 1.98, $SPY 105.80 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Thu Oct 08 13:24:29 UTC 2009,"GOOG,MSFT","<neutral>$GOOG apps and the enterprise. http://bit.ly/2da2FF, Both $GOOG &amp; $MSFT want to be each others market.</neutral>",0
Thu Oct 08 16:07:53 UTC 2009,"AA,COP,GOOG","<positive>Top 3 stocks sold on strength as of 11:02am (WSJ) $AA, $GOOG, $COP</positive>",1
Thu Oct 08 18:00:07 UTC 2009,"AA,AAPL,GOOG,GS,SPY,VG","<neutral>$AA 14.59, $GOOG 518.25, $AAPL 190.53, $GS 189.93, $SPY 106.84, $VG 1.74 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Thu Oct 08 19:03:03 UTC 2009,"AA,GOOG,MCD","<positive>Top 3 stocks sold on strength as of 2:03pm (WSJ) $GOOG, $AA, $MCD Global recovery plays?</positive>",1
Fri Oct 09 17:54:00 UTC 2009,"FBOOK,GOOG","<neutral>while $fbook and $goog turn out rather useless engineers into the wild for the next decade, real entrepreneurs have a shot in tech/web </neutral>",0
Fri Oct 09 19:35:29 UTC 2009,"ES_F,GOOG",<neutral>$GOOG lod..$ES_F</neutral>,0
Fri Oct 09 20:00:07 UTC 2009,"AAPL,BCRX,GOOG,RIMM,SPY","<neutral>$SPY 107.26, $RIMM 68.51, $AAPL 190.47, $GOOG 516.25, $BCRX 8.76 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Sat Oct 10 00:00:05 UTC 2009,"AAPL,BCRX,GOOG,RIMM,SPY","<neutral>$SPY 107.26, $RIMM 68.51, $AAPL 190.47, $BCRX 8.76, $GOOG 516.25 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Sun Oct 11 20:35:16 UTC 2009,GOOG,<neutral>Will $GOOG become a drawer stock?  Check the revenue potential b4 laughing hysterically. http://wp.me/pxBFA-rW $$</neutral>,0
Sun Oct 11 23:57:06 UTC 2009,"BAC,GE,GOOG,GS,IBM,INTC,JPM,NOK",<positive>$GS $JPM $BAC $GE $GOOG $IBM $NOK $INTC  ..... ready? </positive>,1
Mon Oct 12 02:52:08 UTC 2009,"AAPL,AMZN,BIDU,GOOG,GS,ISRG,PCLN",<neutral>Big cap growth stocks should continue higher: $AAPL $GOOG $PCLN $ISRG $GS $BIDU $AMZN $$</neutral>,0
Mon Oct 12 08:00:06 UTC 2009,"AAPL,C,GOOG,GS,SPY","<neutral>$SPY 107.26, $AAPL 190.47, $GS 189.29, $C 4.62, $GOOG 516.25 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Mon Oct 12 10:00:03 UTC 2009,"AAPL,C,GOOG,GS,SPY","<neutral>$SPY 107.26, $GS 189.29, $C 4.62, $AAPL 190.47, $GOOG 516.25 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Mon Oct 12 11:20:56 UTC 2009,"AAPL,CSCO,GOOG","<negative>How A Bear Can Be Bullish And Still Be Right $GOOG, $CSCO $AAPL:  http://bit.ly/9TcKY</negative>",-2
Mon Oct 12 12:26:34 UTC 2009,GOOG,<neutral>$$GOOG price target raised to $585 from $560 at Goldman.</neutral>,0
Mon Oct 12 13:53:43 UTC 2009,GOOG,<neutral>$GOOG looks like a buy on any dip today. Above 525 it starts a new leg higher.</neutral>,0
Mon Oct 12 18:34:37 UTC 2009,GOOG,<very negative>$goog short 521.55</very negative>,-4
Mon Oct 12 18:41:44 UTC 2009,GOOG,<neutral>$goog covered 520.57+1</neutral>,0
Mon Oct 12 21:14:14 UTC 2009,GOOG,<neutral>$GOOG tried but couldn&#39;t close above 525. But it&#39;s coming.</neutral>,0
Mon Oct 12 22:00:04 UTC 2009,"BAC,C,DNDN,DRIV,GOOG,SPY","<neutral>$SPY 107.68, $BAC 18.01, $DNDN 28.73, $DRIV 26.45, $C 4.78, $GOOG 524.04 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Mon Oct 12 22:15:20 UTC 2009,GOOG,"<neutral>RT @hianthony RT @daily_finance Google is a buy, but investors might want to wait until after earnings $goog http://retwt.me/RvXB</neutral>",0
Tue Oct 13 04:00:03 UTC 2009,"BAC,C,DNDN,DRIV,GOOG,SPY","<neutral>$SPY 107.68, $BAC 18.01, $DRIV 26.45, $DNDN 28.73, $C 4.78, $GOOG 524.04 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Tue Oct 13 06:00:03 UTC 2009,"BAC,C,DNDN,DRIV,GOOG,SPY","<neutral>$SPY 107.68, $BAC 18.01, $DRIV 26.45, $DNDN 28.73, $C 4.78, $GOOG 524.04 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Tue Oct 13 12:00:06 UTC 2009,"BAC,C,DNDN,DRIV,GOOG,SPY","<neutral>$SPY 107.68, $BAC 18.01, $DRIV 26.45, $DNDN 28.73, $C 4.78, $GOOG 524.04 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Tue Oct 13 12:09:26 UTC 2009,"AAPL,GOOG","<neutral>RT @wood83 @Dasan $AAPL &amp; $GOOG are sporting 30+ P/Es but no longer grow that fast, will E catch up or P slow down?</neutral>",0
Tue Oct 13 13:41:26 UTC 2009,"AAPL,AMZN,GOOG,PCLN,RIG","<neutral>HEDGE FUND VIP LIST, $PCLN $AMZN, $RIG, $AAPL,$GOOG$QCOM$VISA ,many others per GS rpt</neutral>",0
Tue Oct 13 15:24:54 UTC 2009,GOOG,"<positive>2-3 Long range $GOOG is set to peak at $1000, although I doubt it could hold there for longer than a couple of weeks.  </positive>",2
Tue Oct 13 15:41:15 UTC 2009,GOOG,<neutral>$GOOG back above 425. It wants to go up.</neutral>,0
Tue Oct 13 15:42:11 UTC 2009,GOOG,<very positive>Correction $GOOG above 525 not 425. It indeed has come a long way.</very positive>,4
Tue Oct 13 16:00:12 UTC 2009,"AAPL,BAC,C,GOOG,GS,JNJ,SPY","<neutral>$SPY 107.58, $GS 186.30, $BAC 17.81, $AAPL 190.52, $GOOG 525.17, $JNJ 60.80, $C 4.83 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
Tue Oct 13 20:17:15 UTC 2009,"GOOG,INTC",<positive>$INTC  will help $GOOG!!!!</positive>,1
Tue Oct 13 20:18:08 UTC 2009,"GOOG,INTC",<neutral>$GOOG $INTC getting $GOOG to 530 now</neutral>,0
Tue Oct 13 21:05:26 UTC 2009,"GOOG,INTC,JPM,WFC","<positive>$INTC, $JPM, $GOOG, $WFC upgrades to come. Let&#39;s get it over with and just upgrade everything. The bull vs bears arguement is over.</positive>",3
Wed Oct 14 02:18:56 UTC 2009,GOOG,"<very negative>Hmm, Google ($GOOG) Building Maker. How productive. I&#39;d short the stock on this, but too strong at the moment. -&gt;  http://bit.ly/1fmwDW</very negative>",-5
Wed Oct 14 11:08:46 UTC 2009,GOOG,<neutral>$GOOG headed for 550</neutral>,0
Wed Oct 14 12:26:31 UTC 2009,GOOG,<positive>Back in 04/08 $GOOG jumped $100 after earnings to around 550. This time it may very well go above 600. </positive>,1
Wed Oct 14 12:28:37 UTC 2009,GOOG,<positive>@thinkingtrades Thaaaaat was a fun AH trade if you were long. *lol*  $GOOG $$</positive>,2
Wed Oct 14 12:32:56 UTC 2009,GOOG,<very positive>@traderkos went long $GOOG when Schmidt implicitly endorsed it a few days back .</very positive>,4
Wed Oct 14 12:33:59 UTC 2009,GOOG,<positive>@thinkingtrades Gotta love $GOOG</positive>,3
Wed Oct 14 14:10:15 UTC 2009,"C,GOOG,GS,HOG,IBM","<neutral>Expected earnings moves vs. recent past moves for $C, $GS, $GOOG, $HOG, $IBM http://bit.ly/33uc9i </neutral>",0
Wed Oct 14 15:25:26 UTC 2009,"AAPL,GOOG",<positive>$GOOG is a thing of beauty today. $AAPL too waking up.</positive>,3
Wed Oct 14 15:36:41 UTC 2009,GOOG,<very positive>$GOOG 530/540/550/560 Iron condor looks good with 4:1 risk reward. GOOG needs to stay between 540 and 550 for max reward.</very positive>,4
